
2024/12/22 (03:01:39) | ===> btop++ v.1.4.0
2024/12/22 (03:01:39) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (03:04:17) | ===> btop++ v.1.4.0
2024/12/22 (03:04:17) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (03:04:32) | ===> btop++ v.1.4.0
2024/12/22 (03:04:32) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (03:04:54) | ===> btop++ v.1.4.0
2024/12/22 (03:04:54) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (03:05:33) | ===> btop++ v.1.4.0
2024/12/22 (03:05:33) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (03:06:27) | ===> btop++ v.1.4.0
2024/12/22 (03:06:27) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (03:06:43) | ===> btop++ v.1.4.0
2024/12/22 (03:06:43) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (03:06:58) | ===> btop++ v.1.4.0
2024/12/22 (03:06:58) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (03:33:38) | ===> btop++ v.1.4.0
2024/12/22 (03:33:38) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (03:34:03) | ===> btop++ v.1.4.0
2024/12/22 (03:34:03) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (03:37:56) | ===> btop++ v.1.4.0
2024/12/22 (03:37:56) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (03:39:19) | ===> btop++ v.1.4.0
2024/12/22 (03:39:19) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (03:42:21) | ===> btop++ v.1.4.0
2024/12/22 (03:42:21) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (03:46:00) | ===> btop++ v.1.4.0
2024/12/22 (03:46:00) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (03:46:53) | ===> btop++ v.1.4.0
2024/12/22 (03:46:53) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (03:47:31) | ===> btop++ v.1.4.0
2024/12/22 (03:47:31) | WARNING: Intel GPU: Failed to initialize PMU
2024/12/22 (03:48:04) | ERROR: Stall in Runner thread, restarting!

2024/12/22 (03:48:16) | ===> btop++ v.1.4.0
2024/12/22 (03:48:16) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (03:49:42) | ===> btop++ v.1.4.0
2024/12/22 (03:49:42) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (06:15:20) | ===> btop++ v.1.4.0
2024/12/22 (06:15:20) | WARNING: Intel GPU: Failed to initialize PMU

2024/12/22 (06:54:40) | ===> btop++ v.1.4.0
2024/12/22 (06:54:40) | WARNING: Intel GPU: Failed to initialize PMU
